x,y,z,value,field_name,learned_viscosity_param
0.0,0.0,0.005,0.005,viscosity,0.05023981258273125
0.0,0.011235955,0.005564492,0.005564492,viscosity,0.05023981258273125
0.0,0.02247191,0.0061289845,0.0061289845,viscosity,0.05023981258273125
0.0,0.033707865,0.006693477,0.006693477,viscosity,0.05023981258273125
0.0,0.04494382,0.007257969,0.007257969,viscosity,0.05023981258273125
0.0,0.056179777,0.007822461,0.007822461,viscosity,0.05023981258273125
0.0,0.06741573,0.008386954,0.008386954,viscosity,0.05023981258273125
0.0,0.07865169,0.008951446,0.008951446,viscosity,0.05023981258273125
0.0,0.08988764,0.009515938,0.009515938,viscosity,0.05023981258273125
0.0,0.101123594,0.010080431,0.010080431,viscosity,0.05023981258273125
0.0,0.11235955,0.010644923,0.010644923,viscosity,0.05023981258273125
0.0,0.123595506,0.011209415,0.011209415,viscosity,0.05023981258273125
0.0,0.13483146,0.011773907,0.011773907,viscosity,0.05023981258273125
0.0,0.14606741,0.0123384,0.0123384,viscosity,0.05023981258273125
0.0,0.15730338,0.012902892,0.012902892,viscosity,0.05023981258273125
0.0,0.16853933,0.0134673845,0.0134673845,viscosity,0.05023981258273125
0.0,0.17977528,0.014031877,0.014031877,viscosity,0.05023981258273125
0.0,0.19101124,0.014596368,0.014596368,viscosity,0.05023981258273125
0.0,0.20224719,0.0151608605,0.0151608605,viscosity,0.05023981258273125
0.0,0.21348315,0.015725354,0.015725354,viscosity,0.05023981258273125
0.0,0.2247191,0.016289845,0.016289845,viscosity,0.05023981258273125
0.0,0.23595506,0.016854338,0.016854338,viscosity,0.05023981258273125
0.0,0.24719101,0.01741883,0.01741883,viscosity,0.05023981258273125
0.0,0.25842696,0.017983321,0.017983321,viscosity,0.05023981258273125
0.0,0.26966292,0.018547814,0.018547814,viscosity,0.05023981258273125
0.0,0.28089887,0.019112308,0.019112308,viscosity,0.05023981258273125
0.0,0.29213482,0.019676799,0.019676799,viscosity,0.05023981258273125
0.0,0.3033708,0.020241292,0.020241292,viscosity,0.05023981258273125
0.0,0.31460676,0.020805784,0.020805784,viscosity,0.05023981258273125
0.0,0.3258427,0.021370277,0.021370277,viscosity,0.05023981258273125
0.0,0.33707866,0.02193477,0.02193477,viscosity,0.05023981258273125
0.0,0.3483146,0.02249926,0.02249926,viscosity,0.05023981258273125
0.0,0.35955057,0.023063753,0.023063753,viscosity,0.05023981258273125
0.0,0.37078652,0.023628246,0.023628246,viscosity,0.05023981258273125
0.0,0.38202247,0.024192736,0.024192736,viscosity,0.05023981258273125
0.0,0.39325842,0.024757229,0.024757229,viscosity,0.05023981258273125
0.0,0.40449437,0.025321722,0.025321722,viscosity,0.05023981258273125
0.0,0.41573033,0.025886215,0.025886215,viscosity,0.05023981258273125
0.0,0.4269663,0.026450709,0.026450709,viscosity,0.05023981258273125
0.0,0.43820226,0.027015198,0.027015198,viscosity,0.05023981258273125
0.0,0.4494382,0.027579691,0.027579691,viscosity,0.05023981258273125
0.0,0.46067417,0.028144184,0.028144184,viscosity,0.05023981258273125
0.0,0.47191012,0.028708674,0.028708674,viscosity,0.05023981258273125
0.0,0.48314607,0.029273167,0.029273167,viscosity,0.05023981258273125
0.0,0.49438202,0.02983766,0.02983766,viscosity,0.05023981258273125
0.0,0.505618,0.030402154,0.030402154,viscosity,0.05023981258273125
0.0,0.5168539,0.030966643,0.030966643,viscosity,0.05023981258273125
0.0,0.5280899,0.031531136,0.031531136,viscosity,0.05023981258273125
