y,viscosity_learned,viscosity_reference,absolute_error,relative_error_percent,learned_viscosity_param,reference_viscosity_param,base_viscosity
0.0,0.005,0.005,0.0,0.0,0.05023981258273125,0.08,0.005
0.005025125628140704,0.005252461369762469,0.005402010050251257,0.00014954868048878793,2.768389527187795,0.05023981258273125,0.08,0.005
0.010050251256281407,0.005504922739524938,0.005804020100502513,0.000299097360977575,5.1532792064534565,0.05023981258273125,0.08,0.005
0.01507537688442211,0.0057573841092874055,0.006206030150753769,0.0004486460414663638,7.229195324032905,0.05023981258273125,0.08,0.005
0.020100502512562814,0.006009845479049874,0.006608040201005025,0.0005981947219551509,9.052528491944868,0.05023981258273125,0.08,0.005
0.02512562814070352,0.006262306848812343,0.007010050251256282,0.0007477434024439388,10.666733841314969,0.05023981258273125,0.08,0.005
0.03015075376884422,0.006514768218574812,0.0074120603015075375,0.0008972920829327258,12.105838949397455,0.05023981258273125,0.08,0.005
0.035175879396984924,0.00676722958833728,0.007814070351758795,0.0010468407634215146,13.39686893381874,0.05023981258273125,0.08,0.005
0.04020100502512563,0.007019690958099749,0.00821608040201005,0.0011963894439103017,14.561559592547402,0.05023981258273125,0.08,0.005
0.04522613065326633,0.007272152327862217,0.008618090452261307,0.0013459381243990896,15.617591064455908,0.05023981258273125,0.08,0.005
0.05025125628140704,0.007524613697624687,0.009020100502512562,0.0014954868048878758,16.579491597364196,0.05023981258273125,0.08,0.005
0.05527638190954774,0.0077770750673871545,0.00942211055276382,0.0016450354853766655,17.45930995146434,0.05023981258273125,0.08,0.005
0.06030150753768844,0.008029536437149622,0.009824120603015076,0.0017945841658654534,18.26712271136702,0.05023981258273125,0.08,0.005
0.06532663316582915,0.008281997806912092,0.010226130653266333,0.0019441328463542414,19.011421937321572,0.05023981258273125,0.08,0.005
0.07035175879396985,0.00853445917667456,0.01062814070351759,0.0020936815268430293,19.699414838854032,0.05023981258273125,0.08,0.005
