x,y,u_velocity,v_velocity,pressure,boundary_type,learned_viscosity_param
0.0,0.0,0.084676184,0.022100586,0.33005446,inlet,0.05023981258273125
0.0,0.0050251256,0.0947148,0.021502491,0.33194768,inlet,0.05023981258273125
0.0,0.010050251,0.10544504,0.020888861,0.33394194,inlet,0.05023981258273125
0.0,0.015075376,0.11684116,0.020261426,0.3360325,inlet,0.05023981258273125
0.0,0.020100502,0.12887536,0.019621998,0.3382145,inlet,0.05023981258273125
0.0,0.025125628,0.14151752,0.018972524,0.3404824,inlet,0.05023981258273125
0.0,0.030150753,0.15473577,0.018315043,0.34283054,inlet,0.05023981258273125
0.0,0.03517588,0.16849628,0.01765168,0.3452529,inlet,0.05023981258273125
0.0,0.040201005,0.18276349,0.016984735,0.34774306,inlet,0.05023981258273125
0.0,0.04522613,0.19750023,0.016316481,0.35029447,inlet,0.05023981258273125
0.0,0.050251257,0.21266852,0.015649296,0.3529003,inlet,0.05023981258273125
0.0,0.055276383,0.22822826,0.014985658,0.3555536,inlet,0.05023981258273125
0.0,0.060301505,0.24413848,0.014328014,0.35824713,inlet,0.05023981258273125
0.0,0.06532663,0.26035762,0.013678879,0.36097378,inlet,0.05023981258273125
0.0,0.07035176,0.27684286,0.013040692,0.36372608,inlet,0.05023981258273125
0.0,0.07537688,0.29355127,0.012415931,0.36649677,inlet,0.05023981258273125
0.0,0.08040201,0.31043887,0.011806969,0.36927852,inlet,0.05023981258273125
0.0,0.085427135,0.3274618,0.011216175,0.37206417,inlet,0.05023981258273125
0.0,0.09045226,0.34457672,0.010645736,0.37484655,inlet,0.05023981258273125
0.0,0.09547739,0.36173958,0.010097694,0.37761873,inlet,0.05023981258273125
0.0,0.10050251,0.37890774,0.009574048,0.38037404,inlet,0.05023981258273125
0.0,0.10552764,0.39603907,0.0090764575,0.38310602,inlet,0.05023981258273125
0.0,0.110552765,0.41309243,0.008606594,0.38580856,inlet,0.05023981258273125
0.0,0.11557789,0.43002808,0.008165788,0.3884759,inlet,0.05023981258273125
0.0,0.12060301,0.44680822,0.007755164,0.39110264,inlet,0.05023981258273125
0.0,0.12562814,0.4633966,0.007375706,0.39368376,inlet,0.05023981258273125
0.0,0.13065326,0.47975874,0.0070280805,0.39621475,inlet,0.05023981258273125
0.0,0.1356784,0.49586278,0.006712813,0.3986914,inlet,0.05023981258273125
0.0,0.14070351,0.51167935,0.0064301603,0.40111017,inlet,0.05023981258273125
0.0,0.14572865,0.5271809,0.0061801597,0.40346768,inlet,0.05023981258273125
0.0,0.15075377,0.54234266,0.005962696,0.40576127,inlet,0.05023981258273125
0.0,0.1557789,0.5571425,0.0057774633,0.4079883,inlet,0.05023981258273125
0.0,0.16080402,0.5715605,0.0056238994,0.41014704,inlet,0.05023981258273125
0.0,0.16582914,0.58557904,0.0055014677,0.41223565,inlet,0.05023981258273125
0.0,0.17085427,0.5991832,0.0054092705,0.4142528,inlet,0.05023981258273125
0.0,0.17587939,0.61235976,0.005346503,0.4161975,inlet,0.05023981258273125
0.0,0.18090452,0.62509835,0.005312022,0.41806915,inlet,0.05023981258273125
0.0,0.18592964,0.63739014,0.0053047948,0.4198672,inlet,0.05023981258273125
0.0,0.19095477,0.64922845,0.0053235404,0.42159143,inlet,0.05023981258273125
0.0,0.1959799,0.6606089,0.005367037,0.42324188,inlet,0.05023981258273125
0.0,0.20100503,0.67152894,0.005433861,0.42481893,inlet,0.05023981258273125
0.0,0.20603015,0.68198806,0.0055225194,0.4263231,inlet,0.05023981258273125
0.0,0.21105528,0.6919879,0.0056315996,0.4277552,inlet,0.05023981258273125
0.0,0.2160804,0.701532,0.00575931,0.42911622,inlet,0.05023981258273125
0.0,0.22110553,0.7106259,0.005904205,0.43040738,inlet,0.05023981258273125
0.0,0.22613065,0.7192781,0.0060643964,0.43163052,inlet,0.05023981258273125
0.0,0.23115578,0.7274977,0.00623814,0.43278715,inlet,0.05023981258273125
0.0,0.2361809,0.7352967,0.0064236037,0.43387955,inlet,0.05023981258273125
0.0,0.24120602,0.74268866,0.006618824,0.4349098,inlet,0.05023981258273125
0.0,0.24623115,0.7496892,0.006821852,0.4358805,inlet,0.05023981258273125
0.0,0.2512563,0.7563158,0.007030733,0.43679455,inlet,0.05023981258273125
0.0,0.2562814,0.7625861,0.00724338,0.43765453,inlet,0.05023981258273125
0.0,0.26130652,0.7685206,0.0074577928,0.43846366,inlet,0.05023981258273125
0.0,0.26633164,0.7741399,0.0076719373,0.43922505,inlet,0.05023981258273125
0.0,0.2713568,0.779466,0.007883735,0.43994197,inlet,0.05023981258273125
0.0,0.2763819,0.78452075,0.008091256,0.4406177,inlet,0.05023981258273125
0.0,0.28140703,0.7893274,0.008292373,0.44125557,inlet,0.05023981258273125
0.0,0.28643215,0.79390854,0.008485403,0.44185898,inlet,0.05023981258273125
0.0,0.2914573,0.7982875,0.008668341,0.44243112,inlet,0.05023981258273125
0.0,0.2964824,0.80248666,0.008839551,0.4429754,inlet,0.05023981258273125
0.0,0.30150753,0.80652857,0.008997377,0.44349495,inlet,0.05023981258273125
0.0,0.30653265,0.81043494,0.009140257,0.44399276,inlet,0.05023981258273125
0.0,0.3115578,0.8142272,0.00926676,0.44447201,inlet,0.05023981258273125
