x,y,z_velocity_magnitude,u_velocity,v_velocity,pressure,velocity_magnitude,viscosity,vorticity,divergence,shear_stress,reynolds_local,learned_viscosity_param,grid_i,grid_j
0.0,0.6734694,0.9076404,0.9076213,0.005882226,0.4409274,0.9076404,0.043834977,1.9174751,0.7067215,-0.08281884,20.705849,0.050239813,0,33
0.0,0.6938776,0.86454326,0.86450934,0.007656727,0.4332647,0.86454326,0.04486028,2.3345451,0.74013424,-0.10304909,19.27191,0.050239813,0,34
0.0,0.71428573,0.8131561,0.8130977,0.009749867,0.4244687,0.8131561,0.045885578,2.7275774,0.7656818,-0.1230114,17.721388,0.050239813,0,35
0.0,0.7346939,0.7542308,0.7541337,0.012102041,0.4146267,0.7542308,0.046910882,3.0672903,0.7780185,-0.14129746,16.07795,0.050239813,0,36
0.0,0.75510204,0.6891847,0.68902975,0.014614299,0.40389407,0.6891847,0.047936186,3.3193777,0.77203405,-0.15614101,14.377129,0.050239813,0,37
0.0,0.7755102,0.6201539,0.61991644,0.01716008,0.39252463,0.6201539,0.048961483,3.4511862,0.7437615,-0.1657035,12.666159,0.050239813,0,38
0.0,0.79591835,0.5498784,0.5495287,0.019607484,0.3808816,0.5498784,0.049986787,3.4399364,0.6917935,-0.16849083,11.000475,0.050239813,0,39
0.0,0.81632656,0.48141947,0.4809237,0.021842845,0.36941475,0.48141947,0.05101209,3.2793787,0.61819637,-0.16375084,9.43736,0.050239813,0,40
0.0,0.8367347,0.41776928,0.4170916,0.023785599,0.3586023,0.41776928,0.052037396,2.9824371,0.5278522,-0.15170068,8.028252,0.050239813,0,41
0.0,0.85714287,0.36145625,0.36056328,0.025391653,0.3488774,0.36145625,0.0530627,2.5781436,0.4264868,-0.13345827,6.8118706,0.050239813,0,42
0.0,0.877551,0.31427953,0.31314775,0.026647724,0.3405705,0.31427953,0.054087996,2.1030843,0.31891626,-0.11066279,5.8105226,0.050239813,0,43
0.0,0.8979592,0.27726173,0.27588856,0.027560513,0.33388972,0.27726173,0.0551133,1.5912677,0.20861712,-0.08495456,5.030759,0.050239813,0,44
0.0,0.9183673,0.25079894,0.24921468,0.028145202,0.32893825,0.25079894,0.056138605,1.0673734,0.09871564,-0.05758561,4.467495,0.050239813,0,45
0.0,0.93877554,0.2348965,0.23317124,0.028417168,0.3257508,0.2348965,0.05716391,0.5462789,-0.0070468215,-0.02934774,4.1091747,0.050239813,0,46
0.0,0.9591837,0.22935236,0.22758865,0.028388413,0.32432267,0.22935236,0.058189206,0.037805505,-0.10381879,-0.00079930254,3.941493,0.050239813,0,47
0.0,0.97959185,0.23381025,0.23211937,0.028068393,0.32461765,0.23381025,0.05921451,-0.44693908,-0.18590353,0.02738536,3.9485297,0.050239813,0,48
0.0,1.0,0.2476761,0.24614817,0.027468696,0.32655475,0.2476761,0.060239814,-0.6835592,-0.24141634,0.04164158,4.1115017,0.050239813,0,49
