x,y,u_velocity,v_velocity,pressure,boundary_type,learned_viscosity_param
0.0,0.0,0.084676206,0.022100579,0.33005446,inlet,0.05023981258273125
0.0,0.0050251256,0.09471482,0.021502472,0.33194768,inlet,0.05023981258273125
0.0,0.010050251,0.10544499,0.020888865,0.33394194,inlet,0.05023981258273125
0.0,0.015075376,0.11684116,0.020261407,0.3360325,inlet,0.05023981258273125
0.0,0.020100502,0.12887539,0.019622006,0.33821446,inlet,0.05023981258273125
0.0,0.025125628,0.14151761,0.01897252,0.3404824,inlet,0.05023981258273125
0.0,0.030150753,0.15473582,0.018315028,0.34283054,inlet,0.05023981258273125
0.0,0.03517588,0.1684963,0.0176517,0.3452529,inlet,0.05023981258273125
0.0,0.040201005,0.18276353,0.016984735,0.3477431,inlet,0.05023981258273125
0.0,0.04522613,0.1975004,0.016316466,0.3502945,inlet,0.05023981258273125
0.0,0.050251257,0.21266855,0.015649296,0.35290033,inlet,0.05023981258273125
0.0,0.055276383,0.22822821,0.014985647,0.35555363,inlet,0.05023981258273125
0.0,0.060301505,0.24413854,0.014328007,0.3582472,inlet,0.05023981258273125
0.0,0.06532663,0.26035762,0.01367886,0.36097378,inlet,0.05023981258273125
0.0,0.07035176,0.27684295,0.01304068,0.36372608,inlet,0.05023981258273125
0.0,0.07537688,0.29355124,0.012415931,0.36649677,inlet,0.05023981258273125
0.0,0.08040201,0.31043884,0.011806991,0.36927855,inlet,0.05023981258273125
0.0,0.085427135,0.32746193,0.011216179,0.37206417,inlet,0.05023981258273125
0.0,0.09045226,0.34457666,0.010645729,0.37484655,inlet,0.05023981258273125
0.0,0.09547739,0.3617396,0.01009769,0.37761876,inlet,0.05023981258273125
0.0,0.10050251,0.3789078,0.009574022,0.38037407,inlet,0.05023981258273125
0.0,0.10552764,0.39603907,0.009076469,0.38310605,inlet,0.05023981258273125
0.0,0.110552765,0.4130925,0.00860659,0.38580862,inlet,0.05023981258273125
0.0,0.11557789,0.4300283,0.008165769,0.38847592,inlet,0.05023981258273125
0.0,0.12060301,0.4468083,0.007755164,0.39110267,inlet,0.05023981258273125
0.0,0.12562814,0.46339655,0.007375695,0.3936838,inlet,0.05023981258273125
0.0,0.13065326,0.47975874,0.007028077,0.39621475,inlet,0.05023981258273125
0.0,0.1356784,0.4958629,0.006712809,0.39869145,inlet,0.05023981258273125
0.0,0.14070351,0.5116793,0.006430153,0.40111017,inlet,0.05023981258273125
0.0,0.14572865,0.52718085,0.0061801635,0.4034677,inlet,0.05023981258273125
0.0,0.15075377,0.54234266,0.0059626997,0.40576127,inlet,0.05023981258273125
0.0,0.1557789,0.5571425,0.005777452,0.40798837,inlet,0.05023981258273125
0.0,0.16080402,0.57156044,0.005623929,0.41014707,inlet,0.05023981258273125
