x,y,z,value,field_name,learned_viscosity_param
0.0,0.0,-2.1446931,-2.1446931,vorticity,0.05023981258273125
0.0,0.020408163,-2.391948,-2.391948,vorticity,0.05023981258273125
0.0,0.040816326,-2.8264909,-2.8264909,vorticity,0.05023981258273125
0.0,0.06122449,-3.1385694,-3.1385694,vorticity,0.05023981258273125
0.0,0.08163265,-3.3144503,-3.3144503,vorticity,0.05023981258273125
0.0,0.10204081,-3.3506796,-3.3506796,vorticity,0.05023981258273125
0.0,0.12244898,-3.2562437,-3.2562437,vorticity,0.05023981258273125
0.0,0.14285713,-3.0523083,-3.0523083,vorticity,0.05023981258273125
0.0,0.1632653,-2.7677588,-2.7677588,vorticity,0.05023981258273125
0.0,0.18367347,-2.4328916,-2.4328916,vorticity,0.05023981258273125
0.0,0.20408162,-2.0759053,-2.0759053,vorticity,0.05023981258273125
0.0,0.2244898,-1.7235777,-1.7235777,vorticity,0.05023981258273125
0.0,0.24489796,-1.4018903,-1.4018903,vorticity,0.05023981258273125
0.0,0.26530612,-1.1331842,-1.1331842,vorticity,0.05023981258273125
0.0,0.28571427,-0.93172956,-0.93172956,vorticity,0.05023981258273125
0.0,0.30612245,-0.80155784,-0.80155784,vorticity,0.05023981258273125
0.0,0.3265306,-0.73743886,-0.73743886,vorticity,0.05023981258273125
0.0,0.34693876,-0.7274287,-0.7274287,vorticity,0.05023981258273125
0.0,0.36734694,-0.7558005,-0.7558005,vorticity,0.05023981258273125
0.0,0.3877551,-0.80570817,-0.80570817,vorticity,0.05023981258273125
0.0,0.40816325,-0.86104155,-0.86104155,vorticity,0.05023981258273125
0.0,0.42857143,-0.9070927,-0.9070927,vorticity,0.05023981258273125
0.0,0.4489796,-0.9298443,-0.9298443,vorticity,0.05023981258273125
0.0,0.46938774,-0.9155827,-0.9155827,vorticity,0.05023981258273125
0.0,0.48979592,-0.85207427,-0.85207427,vorticity,0.05023981258273125
0.0,0.5102041,-0.73068124,-0.73068124,vorticity,0.05023981258273125
0.0,0.53061223,-0.54791814,-0.54791814,vorticity,0.05023981258273125
0.0,0.55102044,-0.30580705,-0.30580705,vorticity,0.05023981258273125
0.0,0.5714286,-0.011181891,-0.011181891,vorticity,0.05023981258273125
0.0,0.59183675,0.32589072,0.32589072,vorticity,0.05023981258273125
0.0,0.6122449,0.6948823,0.6948823,vorticity,0.05023981258273125
0.0,0.63265306,1.0874616,1.0874616,vorticity,0.05023981258273125
0.0,0.6530612,1.4974601,1.4974601,vorticity,0.05023981258273125
0.0,0.6734694,1.9174751,1.9174751,vorticity,0.05023981258273125
0.0,0.6938776,2.3345451,2.3345451,vorticity,0.05023981258273125
0.0,0.71428573,2.7275774,2.7275774,vorticity,0.05023981258273125
0.0,0.7346939,3.0672903,3.0672903,vorticity,0.05023981258273125
0.0,0.75510204,3.3193777,3.3193777,vorticity,0.05023981258273125
0.0,0.7755102,3.4511862,3.4511862,vorticity,0.05023981258273125
0.0,0.79591835,3.4399364,3.4399364,vorticity,0.05023981258273125
0.0,0.81632656,3.2793787,3.2793787,vorticity,0.05023981258273125
0.0,0.8367347,2.9824371,2.9824371,vorticity,0.05023981258273125
0.0,0.85714287,2.5781436,2.5781436,vorticity,0.05023981258273125
0.0,0.877551,2.1030843,2.1030843,vorticity,0.05023981258273125
0.0,0.8979592,1.5912677,1.5912677,vorticity,0.05023981258273125
0.0,0.9183673,1.0673734,1.0673734,vorticity,0.05023981258273125
0.0,0.93877554,0.5462789,0.5462789,vorticity,0.05023981258273125
0.0,0.9591837,0.037805505,0.037805505,vorticity,0.05023981258273125
0.0,0.97959185,-0.44693908,-0.44693908,vorticity,0.05023981258273125
0.0,1.0,-0.6835592,-0.6835592,vorticity,0.05023981258273125
0.02020202,0.0,-2.0946076,-2.0946076,vorticity,0.05023981258273125
0.02020202,0.020408163,-2.3471375,-2.3471375,vorticity,0.05023981258273125
0.02020202,0.040816326,-2.7931592,-2.7931592,vorticity,0.05023981258273125
0.02020202,0.06122449,-3.1193929,-3.1193929,vorticity,0.05023981258273125
0.02020202,0.08163265,-3.3154638,-3.3154638,vorticity,0.05023981258273125
0.02020202,0.10204081,-3.3791938,-3.3791938,vorticity,0.05023981258273125
0.02020202,0.12244898,-3.317175,-3.317175,vorticity,0.05023981258273125
0.02020202,0.14285713,-3.1451046,-3.1451046,vorticity,0.05023981258273125
0.02020202,0.1632653,-2.8860013,-2.8860013,vorticity,0.05023981258273125
0.02020202,0.18367347,-2.5666523,-2.5666523,vorticity,0.05023981258273125
0.02020202,0.20408162,-2.2150242,-2.2150242,vorticity,0.05023981258273125
0.02020202,0.2244898,-1.8597702,-1.8597702,vorticity,0.05023981258273125
0.02020202,0.24489796,-1.5295252,-1.5295252,vorticity,0.05023981258273125
0.02020202,0.26530612,-1.2494226,-1.2494226,vorticity,0.05023981258273125
0.02020202,0.28571427,-1.0362206,-1.0362206,vorticity,0.05023981258273125
0.02020202,0.30612245,-0.89551514,-0.89551514,vorticity,0.05023981258273125
0.02020202,0.3265306,-0.8221955,-0.8221955,vorticity,0.05023981258273125
0.02020202,0.34693876,-0.8032504,-0.8032504,vorticity,0.05023981258273125
0.02020202,0.36734694,-0.8213239,-0.8213239,vorticity,0.05023981258273125
0.02020202,0.3877551,-0.8582637,-0.8582637,vorticity,0.05023981258273125
0.02020202,0.40816325,-0.8977389,-0.8977389,vorticity,0.05023981258273125
0.02020202,0.42857143,-0.9260112,-0.9260112,vorticity,0.05023981258273125
0.02020202,0.4489796,-0.9310923,-0.9310923,vorticity,0.05023981258273125
0.02020202,0.46938774,-0.9016615,-0.9016615,vorticity,0.05023981258273125
0.02020202,0.48979592,-0.8274106,-0.8274106,vorticity,0.05023981258273125
0.02020202,0.5102041,-0.70080715,-0.70080715,vorticity,0.05023981258273125
0.02020202,0.53061223,-0.51858896,-0.51858896,vorticity,0.05023981258273125
0.02020202,0.55102044,-0.2821423,-0.2821423,vorticity,0.05023981258273125
0.02020202,0.5714286,0.0030845366,0.0030845366,vorticity,0.05023981258273125
0.02020202,0.59183675,0.32904723,0.32904723,vorticity,0.05023981258273125
0.02020202,0.6122449,0.6875552,0.6875552,vorticity,0.05023981258273125
0.02020202,0.63265306,1.0723313,1.0723313,vorticity,0.05023981258273125
0.02020202,0.6530612,1.4784552,1.4784552,vorticity,0.05023981258273125
0.02020202,0.6734694,1.8988107,1.8988107,vorticity,0.05023981258273125
0.02020202,0.6938776,2.3200805,2.3200805,vorticity,0.05023981258273125
0.02020202,0.71428573,2.7207534,2.7207534,vorticity,0.05023981258273125
0.02020202,0.7346939,3.0714378,3.0714378,vorticity,0.05023981258273125
0.02020202,0.75510204,3.3377447,3.3377447,vorticity,0.05023981258273125
0.02020202,0.7755102,3.4862242,3.4862242,vorticity,0.05023981258273125
0.02020202,0.79591835,3.4921732,3.4921732,vorticity,0.05023981258273125
0.02020202,0.81632656,3.3469138,3.3469138,vorticity,0.05023981258273125
0.02020202,0.8367347,3.0617156,3.0617156,vorticity,0.05023981258273125
0.02020202,0.85714287,2.6653483,2.6653483,vorticity,0.05023981258273125
0.02020202,0.877551,2.1949947,2.1949947,vorticity,0.05023981258273125
0.02020202,0.8979592,1.6849657,1.6849657,vorticity,0.05023981258273125
0.02020202,0.9183673,1.1594223,1.1594223,vorticity,0.05023981258273125
0.02020202,0.93877554,0.6322185,0.6322185,vorticity,0.05023981258273125
0.02020202,0.9591837,0.11224785,0.11224785,vorticity,0.05023981258273125
0.02020202,0.97959185,-0.38950092,-0.38950092,vorticity,0.05023981258273125
0.02020202,1.0,-0.63616806,-0.63616806,vorticity,0.05023981258273125
0.04040404,0.0,-2.0489168,-2.0489168,vorticity,0.05023981258273125
0.04040404,0.020408163,-2.3040469,-2.3040469,vorticity,0.05023981258273125
0.04040404,0.040816326,-2.7564747,-2.7564747,vorticity,0.05023981258273125
0.04040404,0.06122449,-3.091128,-3.091128,vorticity,0.05023981258273125
0.04040404,0.08163265,-3.3012605,-3.3012605,vorticity,0.05023981258273125
0.04040404,0.10204081,-3.38678,-3.38678,vorticity,0.05023981258273125
0.04040404,0.12244898,-3.3527944,-3.3527944,vorticity,0.05023981258273125
0.04040404,0.14285713,-3.2099564,-3.2099564,vorticity,0.05023981258273125
0.04040404,0.1632653,-2.9754276,-2.9754276,vorticity,0.05023981258273125
0.04040404,0.18367347,-2.6726468,-2.6726468,vorticity,0.05023981258273125
0.04040404,0.20408162,-2.3296084,-2.3296084,vorticity,0.05023981258273125
0.04040404,0.2244898,-1.9767458,-1.9767458,vorticity,0.05023981258273125
0.04040404,0.24489796,-1.6443624,-1.6443624,vorticity,0.05023981258273125
0.04040404,0.26530612,-1.3587382,-1.3587382,vorticity,0.05023981258273125
0.04040404,0.28571427,-1.1376548,-1.1376548,vorticity,0.05023981258273125
0.04040404,0.30612245,-0.9876187,-0.9876187,vorticity,0.05023981258273125
0.04040404,0.3265306,-0.9039856,-0.9039856,vorticity,0.05023981258273125
0.04040404,0.34693876,-0.8735756,-0.8735756,vorticity,0.05023981258273125
0.04040404,0.36734694,-0.87851465,-0.87851465,vorticity,0.05023981258273125
0.04040404,0.3877551,-0.9002978,-0.9002978,vorticity,0.05023981258273125
0.04040404,0.40816325,-0.92296934,-0.92296934,vorticity,0.05023981258273125
0.04040404,0.42857143,-0.9340719,-0.9340719,vorticity,0.05023981258273125
0.04040404,0.4489796,-0.9234846,-0.9234846,vorticity,0.05023981258273125
0.04040404,0.46938774,-0.88179064,-0.88179064,vorticity,0.05023981258273125
0.04040404,0.48979592,-0.8001094,-0.8001094,vorticity,0.05023981258273125
0.04040404,0.5102041,-0.67153996,-0.67153996,vorticity,0.05023981258273125
0.04040404,0.53061223,-0.4927238,-0.4927238,vorticity,0.05023981258273125
0.04040404,0.55102044,-0.26428697,-0.26428697,vorticity,0.05023981258273125
0.04040404,0.5714286,0.009718286,0.009718286,vorticity,0.05023981258273125
0.04040404,0.59183675,0.32316223,0.32316223,vorticity,0.05023981258273125
0.04040404,0.6122449,0.6699988,0.6699988,vorticity,0.05023981258273125
0.04040404,0.63265306,1.0458484,1.0458484,vorticity,0.05023981258273125
0.04040404,0.6530612,1.4470083,1.4470083,vorticity,0.05023981258273125
0.04040404,0.6734694,1.8667632,1.8667632,vorticity,0.05023981258273125
0.04040404,0.6938776,2.2916498,2.2916498,vorticity,0.05023981258273125
0.04040404,0.71428573,2.6999133,2.6999133,vorticity,0.05023981258273125
0.04040404,0.7346939,3.0621166,3.0621166,vorticity,0.05023981258273125
0.04040404,0.75510204,3.343809,3.343809,vorticity,0.05023981258273125
0.04040404,0.7755102,3.510865,3.510865,vorticity,0.05023981258273125
0.04040404,0.79591835,3.5368555,3.5368555,vorticity,0.05023981258273125
0.04040404,0.81632656,3.410725,3.410725,vorticity,0.05023981258273125
0.04040404,0.8367347,3.1417487,3.1417487,vorticity,0.05023981258273125
0.04040404,0.85714287,2.757689,2.757689,vorticity,0.05023981258273125
0.04040404,0.877551,2.2953644,2.2953644,vorticity,0.05023981258273125
0.04040404,0.8979592,1.7886051,1.7886051,vorticity,0.05023981258273125
0.04040404,0.9183673,1.2607356,1.2607356,vorticity,0.05023981258273125
0.04040404,0.93877554,0.72481155,0.72481155,vorticity,0.05023981258273125
0.04040404,0.9591837,0.18967623,0.18967623,vorticity,0.05023981258273125
0.04040404,0.97959185,-0.3324264,-0.3324264,vorticity,0.05023981258273125
0.04040404,1.0,-0.59073997,-0.59073997,vorticity,0.05023981258273125
0.060606062,0.0,-2.0059397,-2.0059397,vorticity,0.05023981258273125
0.060606062,0.020408163,-2.2616022,-2.2616022,vorticity,0.05023981258273125
0.060606062,0.040816326,-2.7164898,-2.7164898,vorticity,0.05023981258273125
0.060606062,0.06122449,-3.0556195,-3.0556195,vorticity,0.05023981258273125
0.060606062,0.08163265,-3.2757478,-3.2757478,vorticity,0.05023981258273125
0.060606062,0.10204081,-3.379144,-3.379144,vorticity,0.05023981258273125
0.060606062,0.12244898,-3.3698168,-3.3698168,vorticity,0.05023981258273125
0.060606062,0.14285713,-3.2536373,-3.2536373,vorticity,0.05023981258273125
0.060606062,0.1632653,-3.0420432,-3.0420432,vorticity,0.05023981258273125
0.060606062,0.18367347,-2.7553873,-2.7553873,vorticity,0.05023981258273125
0.060606062,0.20408162,-2.4222279,-2.4222279,vorticity,0.05023981258273125
0.060606062,0.2244898,-2.0749853,-2.0749853,vorticity,0.05023981258273125
0.060606062,0.24489796,-1.7448912,-1.7448912,vorticity,0.05023981258273125
0.060606062,0.26530612,-1.4579711,-1.4579711,vorticity,0.05023981258273125
0.060606062,0.28571427,-1.2317041,-1.2317041,vorticity,0.05023981258273125
0.060606062,0.30612245,-1.0729022,-1.0729022,vorticity,0.05023981258273125
0.060606062,0.3265306,-0.9776859,-0.9776859,vorticity,0.05023981258273125
