x,y,z_velocity_magnitude,u_velocity,v_velocity,pressure,velocity_magnitude,viscosity,vorticity,divergence,shear_stress,reynolds_local,learned_viscosity_param,grid_i,grid_j
0.0,0.5135135,0.976932,0.97692794,0.0028010197,0.46142587,0.976932,0.03579882,-0.71080047,0.6511201,0.024303868,27.289501,0.050239813,0,38
0.0,0.527027,0.98561066,0.98560774,0.0024094582,0.4619452,0.98561066,0.036477737,-0.58992,0.6366713,0.020521838,27.019512,0.050239813,0,39
0.0,0.5405405,0.9925046,0.99250233,0.0021211617,0.46218494,0.9925046,0.037156656,-0.44236532,0.62379664,0.015605022,26.711353,0.050239813,0,40
0.0,0.554054,0.99726295,0.99726105,0.0019436888,0.46209106,0.99726295,0.03783557,-0.26975018,0.613884,0.009553463,26.357817,0.050239813,0,41
0.0,0.5675676,0.9995615,0.99955976,0.0018829033,0.4616113,0.9995615,0.038514487,-0.07449436,0.6080592,0.0024035468,25.95287,0.050239813,0,42
0.0,0.58108103,0.9991129,0.99911106,0.0019435734,0.4606992,0.9991129,0.0391934,0.14035018,0.60713345,-0.0057752966,25.491867,0.050239813,0,43
0.0,0.5945946,0.99567413,0.99567187,0.0021289028,0.45931652,0.99567413,0.03987232,0.37147835,0.6114678,-0.014892866,24.971563,0.050239813,0,44
0.0,0.6081081,0.98904663,0.9890436,0.0024419017,0.45743507,0.98904663,0.040551238,0.6158455,0.6210456,-0.024858482,24.390047,0.050239813,0,45
0.0,0.6216216,0.97906995,0.97906566,0.0028855167,0.45503625,0.97906995,0.041230153,0.87098867,0.63543767,-0.035593912,23.746454,0.050239813,0,46
0.0,0.6351351,0.9656135,0.9656073,0.003463827,0.45211014,0.9656135,0.04190907,1.1350703,0.65384436,-0.04703934,23.040682,0.050239813,0,47
0.0,0.6486486,0.9485683,0.9485591,0.004181981,0.4486533,0.9485683,0.042587988,1.4065845,0.6751328,-0.05914335,22.273142,0.050239813,0,48
0.0,0.6621622,0.92784643,0.9278327,0.0050454102,0.44466665,0.92784643,0.043266907,1.6836234,0.69803697,-0.0718352,21.444714,0.050239813,0,49
0.0,0.67567563,0.90339154,0.9033712,0.0060577877,0.4401553,0.90339154,0.04394582,1.9633578,0.72107,-0.084999435,20.55694,0.050239813,0,50
0.0,0.6891892,0.87519294,0.8751632,0.007219594,0.43512747,0.87519294,0.04462474,2.2415273,0.7427377,-0.09845407,19.612282,0.050239813,0,51
0.0,0.7027027,0.843309,0.8432659,0.008525327,0.42959613,0.843309,0.04530365,2.5121784,0.7614837,-0.11193254,18.614592,0.050239813,0,52
0.0,0.7162162,0.8078882,0.80782676,0.009962585,0.42358062,0.8078882,0.04598257,2.7676356,0.7757841,-0.12507723,17.569445,0.050239813,0,53
0.0,0.7297297,0.7691934,0.7691073,0.011510797,0.41711,0.7691934,0.04666148,2.998663,0.78409475,-0.1374384,16.484549,0.050239813,0,54
0.0,0.7432432,0.72761977,0.7275011,0.013141848,0.41022688,0.72761977,0.0473404,3.195071,0.7848511,-0.14849667,15.369954,0.050239813,0,55
0.0,0.7567568,0.6837023,0.68354166,0.014821298,0.40299174,0.6837023,0.04801932,3.346452,0.7767486,-0.15769303,14.238067,0.050239813,0,56
0.0,0.7702702,0.6381147,0.63790107,0.016510647,0.3954863,0.6381147,0.04869823,3.44341,0.75871783,-0.16448541,13.103447,0.050239813,0,57
0.0,0.7837838,0.59164435,0.5913652,0.018171124,0.3878135,0.59164435,0.04937715,3.4786637,0.7302917,-0.16840877,11.982148,0.050239813,0,58
0.0,0.7972973,0.54516053,0.54480207,0.019766297,0.38009584,0.54516053,0.05005607,3.4478855,0.6917099,-0.16912322,10.890998,0.050239813,0,59
0.0,0.8108108,0.49956718,0.4991144,0.021264836,0.37246913,0.49956718,0.050734982,3.3505006,0.64379305,-0.1664666,9.846602,0.050239813,0,60
0.0,0.8243243,0.45574862,0.45518583,0.022642307,0.3650737,0.45574862,0.0514139,3.1898377,0.5880393,-0.16047557,8.864307,0.050239813,0,61
0.0,0.8378378,0.41451794,0.41382945,0.023881277,0.35804525,0.41451794,0.052092813,2.9728034,0.5261143,-0.15138061,7.9572964,0.050239813,0,62
0.0,0.8513514,0.37657169,0.37574282,0.024971317,0.3515051,0.37657169,0.052771732,2.7090774,0.45969892,-0.13957638,7.13586,0.050239813,0,63
0.0,0.8648648,0.3424597,0.3414783,0.025908021,0.34555364,0.3424597,0.053450644,2.4097352,0.39027143,-0.12555714,6.407027,0.050239813,0,64
0.0,0.8783784,0.3125769,0.3114352,0.02669134,0.34026706,0.3125769,0.054129563,2.0857878,0.3189156,-0.10984199,5.7746058,0.050239813,0,65
0.0,0.8918919,0.28717268,0.28586978,0.027324172,0.33569825,0.28717268,0.054808483,1.746933,0.24656208,-0.092906766,5.2395663,0.050239813,0,66
0.0,0.9054054,0.2663768,0.264921,0.027811026,0.33187976,0.2663768,0.055487394,1.4007618,0.17401814,-0.07513709,4.800672,0.050239813,0,67
0.0,0.9189189,0.2502307,0.24864152,0.0281566,0.32882884,0.2502307,0.056166314,1.0526823,0.1021481,-0.056814797,4.455174,0.050239813,0,68
0.0,0.9324324,0.23871727,0.23702604,0.028365338,0.3265522,0.23871727,0.056845233,0.7062955,0.032061227,-0.03813519,4.1994247,0.050239813,0,69
0.0,0.9459459,0.23178284,0.23003131,0.028440809,0.32504964,0.23178284,0.057524145,0.3642009,-0.034932017,-0.019244526,4.029314,0.050239813,0,70
0.0,0.9594595,0.22934693,0.2275835,0.028386004,0.3243153,0.22934693,0.058203064,0.028928332,-0.097280905,-0.0002928247,3.9404614,0.050239813,0,71
0.0,0.972973,0.23129834,0.2295724,0.02820349,0.324337,0.23129834,0.058881983,-0.29626003,-0.15330233,0.018520854,3.9281683,0.050239813,0,72
0.0,0.9864865,0.23748173,0.23583758,0.027896307,0.3250942,0.23748173,0.059560895,-0.60684204,-0.20132193,0.03691322,3.9872088,0.050239813,0,73
