y,viscosity_learned,viscosity_reference,absolute_error,relative_error_percent,learned_viscosity_param,reference_viscosity_param,base_viscosity
0.0,0.01,0.01,0.0,0.0,0.05023981258273125,0.05,0.01
0.005025125628140704,0.010252461369762468,0.010251256281407035,1.2050883554329955e-06,0.011755518761331673,0.05023981258273125,0.05,0.01
0.010050251256281407,0.010504922739524938,0.01050251256281407,2.4101767108677258e-06,0.022948572510175954,0.05023981258273125,0.05,0.01
0.01507537688442211,0.010757384109287406,0.010753768844221107,3.6152650662989866e-06,0.03361858636418216,0.05023981258273125,0.05,0.01
0.020100502512562814,0.011009845479049875,0.011005025125628141,4.820353421733717e-06,0.04380138497374473,0.05023981258273125,0.05,0.01
0.02512562814070352,0.011262306848812343,0.011256281407035176,6.025441777166712e-06,0.0535295943596507,0.05023981258273125,0.05,0.01
0.03015075376884422,0.011514768218574811,0.011507537688442211,7.230530132599708e-06,0.06283299110861755,0.05023981258273125,0.05,0.01
0.035175879396984924,0.01176722958833728,0.011758793969849246,8.435618488034438e-06,0.07173880679995098,0.05023981258273125,0.05,0.01
0.04020100502512563,0.012019690958099748,0.012010050251256281,9.640706843467434e-06,0.08027199421966608,0.05023981258273125,0.05,0.01
0.04522613065326633,0.012272152327862218,0.012261306532663318,1.084579519890043e-05,0.08845546084349121,0.05023981258273125,0.05,0.01
0.05025125628140704,0.012524613697624686,0.012512562814070352,1.2050883554333425e-05,0.09631027418925106,0.05023981258273125,0.05,0.01
0.05527638190954774,0.012777075067387154,0.012763819095477387,1.325597190976642e-05,0.10385584291509913,0.05023981258273125,0.05,0.01
0.06030150753768844,0.013029536437149623,0.013015075376884422,1.446106026520115e-05,0.1111100769411208,0.05023981258273125,0.05,0.01
0.06532663316582915,0.013281997806912093,0.013266331658291459,1.5666148620634146e-05,0.11808952937523463,0.05023981258273125,0.05,0.01
0.07035175879396985,0.01353445917667456,0.013517587939698494,1.687123697606714e-05,0.12480952261105431,0.05023981258273125,0.05,0.01
0.07537688442211056,0.013786920546437029,0.013768844221105529,1.8076325331500137e-05,0.1312842606192893,0.05023981258273125,0.05,0.01
0.08040201005025126,0.014039381916199498,0.014020100502512563,1.9281413686934867e-05,0.13752692916487594,0.05023981258273125,0.05,0.01
0.08542713567839195,0.014291843285961966,0.014271356783919598,2.0486502042367863e-05,0.14354978543771846,0.05023981258273125,0.05,0.01
0.09045226130653267,0.014544304655724434,0.014522613065326633,2.169159039780086e-05,0.14936423837932078,0.05023981258273125,0.05,0.01
0.09547738693467336,0.014796766025486904,0.014773869346733668,2.289667875323559e-05,0.15498092081271708,0.05023981258273125,0.05,0.01
0.10050251256281408,0.015049227395249373,0.015025125628140705,2.4101767108668584e-05,0.1604097543352859,0.05023981258273125,0.05,0.01
0.10552763819095477,0.01530168876501184,0.01527638190954774,2.5306855464099845e-05,0.16566000780775886,0.05023981258273125,0.05,0.01
0.11055276381909548,0.015554150134774309,0.015527638190954774,2.6511943819534575e-05,0.17074035016464015,0.05023981258273125,0.05,0.01
0.11557788944723618,0.01580661150453678,0.01577889447236181,2.771703217496757e-05,0.1756588981789346,0.05023981258273125,0.05,0.01
0.12060301507537688,0.016059072874299245,0.016030150753768846,2.892212053039883e-05,0.18042325973508988,0.05023981258273125,0.05,0.01
0.12562814070351758,0.016311534244061714,0.01628140703517588,3.0127208885833562e-05,0.18504057309508884,0.05023981258273125,0.05,0.01
0.1306532663316583,0.016563995613824184,0.016532663316582916,3.133229724126829e-05,0.1895175425839632,0.05023981258273125,0.05,0.01
0.135678391959799,0.01681645698358665,0.01678391959798995,3.253738559669955e-05,0.19386047107015603,0.05023981258273125,0.05,0.01
0.1407035175879397,0.01706891835334912,0.017035175879396985,3.374247395213428e-05,0.19807528957152573,0.05023981258273125,0.05,0.01
0.1457286432160804,0.01732137972311159,0.01728643216080402,3.494756230756901e-05,0.202167584279251,0.05023981258273125,0.05,0.01
0.15075376884422112,0.01757384109287406,0.017537688442211055,3.6152650663003744e-05,0.20614262125896116,0.05023981258273125,0.05,0.01
0.15577889447236182,0.01782630246263653,0.01778894472361809,3.7357739018438474e-05,0.2100053690584536,0.05023981258273125,0.05,0.01
0.16080402010050251,0.018078763832398995,0.018040201005025125,3.8562827373869735e-05,0.21376051942618599,0.05023981258273125,0.05,0.01
0.1658291457286432,0.01833122520216146,0.01829145728643216,3.9767915729300995e-05,0.21741250632227746,0.05023981258273125,0.05,0.01
0.1708542713567839,0.018583686571923934,0.018542713567839195,4.0973004084739195e-05,0.2209655233838239,0.05023981258273125,0.05,0.01
0.17587939698492464,0.0188361479416864,0.018793969849246233,4.2178092440166987e-05,0.2244235399891238,0.05023981258273125,0.05,0.01
0.18090452261306533,0.01908860931144887,0.019045226130653268,4.338318079560172e-05,0.22779031605078473,0.05023981258273125,0.05,0.01
0.18592964824120603,0.01934107068121134,0.019296482412060303,4.458826915103645e-05,0.23106941565250658,0.05023981258273125,0.05,0.01
0.19095477386934673,0.019593532050973805,0.019547738693467338,4.579335750646771e-05,0.23426421963462915,0.05023981258273125,0.05,0.01
0.19597989949748745,0.019845993420736275,0.019798994974874376,4.699844586189897e-05,0.2373779372212663,0.05023981258273125,0.05,0.01
0.20100502512562815,0.020098454790498745,0.02005025125628141,4.82035342173337e-05,0.24041361677316803,0.05023981258273125,0.05,0.01
0.20603015075376885,0.02035091616026121,0.020301507537688446,4.940862257276496e-05,0.2433741557420848,0.05023981258273125,0.05,0.01
0.21105527638190955,0.02060337753002368,0.02055276381909548,5.061371092819969e-05,0.24626230989515252,0.05023981258273125,0.05,0.01
